epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,591.037,0.8292,0.49314,0.94858,0.81068,0.65798,0.74342,0.39706,1.64423,1.27376,1.49438,7.74911e-06,7.74911e-06,7.74911e-06
77,598.605,0.82665,0.50257,0.94647,0.77854,0.66775,0.74042,0.3954,1.65728,1.26216,1.50278,7.20803e-06,7.20803e-06,7.20803e-06
78,606.167,0.82522,0.49043,0.94471,0.76132,0.67427,0.739,0.40055,1.63396,1.22238,1.48707,6.68475e-06,6.68475e-06,6.68475e-06
79,613.923,0.83154,0.49468,0.94824,0.78749,0.67597,0.7459,0.39914,1.65927,1.24857,1.50627,6.1798e-06,6.1798e-06,6.1798e-06
80,621.443,0.81702,0.49238,0.94324,0.79207,0.68245,0.74579,0.40014,1.67455,1.26019,1.52379,5.69366e-06,5.69366e-06,5.69366e-06
81,629.097,0.81918,0.49128,0.94268,0.78289,0.68404,0.74386,0.39781,1.65661,1.24298,1.51016,5.22683e-06,5.22683e-06,5.22683e-06
82,636.573,0.81667,0.48872,0.9444,0.80396,0.65798,0.74651,0.40037,1.65334,1.26864,1.50922,4.77976e-06,4.77976e-06,4.77976e-06
83,644.095,0.81828,0.4943,0.93991,0.79496,0.6645,0.75692,0.40416,1.67736,1.2483,1.53302,4.35288e-06,4.35288e-06,4.35288e-06
84,651.699,0.82118,0.48419,0.94278,0.76318,0.6928,0.7584,0.40423,1.68149,1.22748,1.53383,3.94663e-06,3.94663e-06,3.94663e-06
85,659.299,0.82167,0.48692,0.94478,0.7633,0.69055,0.75085,0.39991,1.67372,1.23284,1.52559,3.56141e-06,3.56141e-06,3.56141e-06
